x123,y1,(xi-xmean)(yi-ymean),(xi-xmean)square,y predicted,error (y-ypredicted),error squared,SST (actual y - mean y)squared,SSR (predictedy - meany)^2,SSE (error)^2
10,8.04,0.539091,1,7.993629,0.046371,0.00215027,0.290619106,0.242772998,0.00215027
8,6.95,0.550909,1,6.993447,-0.043447,0.001887642,0.303500726,0.257517681,0.001887642
13,7.58,0.316364,16,9.493902,-1.913902,3.663020866,0.006255386,3.972021098,3.663020866
9,8.81,0,0,7.493538,1.316462,1.733072197,1.713719246,5.43E-05,1.733072197
11,8.33,1.658182,4,8.49372,-0.16372,0.026804238,0.687391886,0.985673682,0.026804238
14,9.96,12.295455,25,9.993993,-0.033993,0.001155524,6.047128546,6.215467831,0.001155524
6,7.24,0.782727,9,5.993265,1.246735,1.55434816,0.068073506,2.272990431,1.55434816
4,4.26,16.204545,25,4.993083,-0.733083,0.537410685,10.50349115,6.289191246,0.537410685
12,10.84,10.017273,9,8.993811,1.846189,3.408413824,11.14952871,2.228756382,3.408413824
7,4.82,5.361818,4,6.493356,-1.673356,2.800120303,7.187273066,1.015163048,2.800120303
5,5.68,7.283636,16,5.493174,0.186826,0.034903954,3.315709586,4.03099983,0.034903954
,,,,,,,,,
9,7.500909091,55.01,110,,,13.76328766,41.27269091,27.51060856,13.76328766
,,,,,,,,,
beta1,0.500090909,,,,,,,,
beta0,2.992719,,,,,,,,
,,,,,,,,,
,,,,,R2 1 - (SSE/SST),0.666527979,66.65279787,,
,,,,,Adjusted R2 1-(((1-R2)(n-1))/(n-p-1)),0.629475532,62.94755319,,
